"","B18","B19","EP","FP","JP","LJ","NI","SH","SR","SS","SP","TI","WR","WW","WB"
"1738",-0.061,-0.061,-0.061,-0.302,-0.658,-0.061,0.036,0.036,-0.953,-0.302,0.036,0.196,-0.658,-0.658,0.036
"1739",-0.161,-0.161,-0.161,-0.024,-0.031,-0.161,0.043,0.043,-0.316,-0.024,0.043,0.201,-0.031,-0.031,0.043
"1740",-1.235,-1.235,-1.235,-0.986,-0.717,-1.235,-0.955,-0.955,-0.641,-0.986,-0.955,-1.265,-0.717,-0.717,-0.955
"1741",-1.018,-1.018,-1.018,-0.856,-0.886,-1.018,-0.315,-0.315,-1.276,-0.856,-0.315,-0.181,-0.886,-0.886,-0.315
"1742",-3.423,-3.423,-3.423,-2.798,-2.405,-3.423,-2.025,-2.025,-2.653,-2.798,-2.025,-1.919,-2.405,-2.405,-2.025
"1743",1.498,1.498,1.498,1.88,2.17,1.498,0.903,0.903,2.485,1.88,0.903,0.394,2.17,2.17,0.903
"1744",-0.346,-0.346,-0.346,-0.125,-0.035,-0.346,-0.17,-0.17,-0.202,-0.125,-0.17,-0.6,-0.035,-0.035,-0.17
"1745",-1.407,-1.407,-1.407,-1.118,-0.934,-1.407,-0.82,-0.82,-1.015,-1.118,-0.82,-0.617,-0.934,-0.934,-0.82
"1746",2.699,2.699,2.699,2.846,3.071,2.699,1.716,1.716,3.558,2.846,1.716,1.998,3.071,3.071,1.716
"1747",4.872,4.872,4.872,4.473,4.271,4.872,3.155,3.155,4.775,4.473,3.155,3.37,4.271,4.271,3.155
"1748",-2.819,-2.819,-2.819,-2.957,-3.068,-2.819,-1.769,-1.769,-3.08,-2.957,-1.769,-1.608,-3.068,-3.068,-1.769
"1749",1.82,1.82,1.82,1.848,1.848,1.82,1.211,1.211,2.023,1.848,1.211,1.276,1.848,1.848,1.211
"1750",-0.927,-0.927,-0.927,-0.907,-0.838,-0.927,-0.663,-0.663,-0.724,-0.907,-0.663,-0.681,-0.838,-0.838,-0.663
"1751",1.954,1.954,1.954,1.698,1.609,1.954,1.152,1.152,1.892,1.698,1.152,0.944,1.609,1.609,1.152
"1752",-0.129,-0.129,-0.129,-0.637,-1.133,-0.129,0.011,0.011,-1.356,-0.637,0.011,-0.08,-1.133,-1.133,0.011
"1753",2.267,2.267,2.267,1.94,1.712,2.267,1.269,1.269,2.032,1.94,1.269,0.99,1.712,1.712,1.269
"1754",2.08,2.08,2.08,1.898,1.789,2.08,1.248,1.248,1.801,1.898,1.248,0.984,1.789,1.789,1.248
"1755",1.646,1.646,1.646,1.513,1.454,1.646,0.974,0.974,1.505,1.513,0.974,0.442,1.454,1.454,0.974
"1756",-3.372,-3.372,-3.372,-2.765,-2.352,-3.372,-2.174,-2.174,-2.874,-2.765,-2.174,-2.947,-2.352,-2.352,-2.174
"1757",-3.136,-3.136,-3.136,-2.305,-1.693,-3.136,-2.079,-2.079,-1.994,-2.305,-2.079,-2.526,-1.693,-1.693,-2.079
"1758",-1.109,-1.109,-1.109,-0.494,-0.061,-1.109,-0.727,-0.727,-0.181,-0.494,-0.727,-1.158,-0.061,-0.061,-0.727
"1759",-1.176,-1.176,-1.176,-0.537,-0.088,-1.176,-0.834,-0.834,-0.193,-0.537,-0.834,-1.335,-0.088,-0.088,-0.834
"1760",-0.966,-0.966,-0.966,-0.39,0.134,-0.966,-0.806,-0.806,0.407,-0.39,-0.806,-0.927,0.134,0.134,-0.806
"1761",5.955,5.955,5.955,5.327,4.932,5.955,3.509,3.509,5.729,5.327,3.509,3.361,4.932,4.932,3.509
